OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY,DIABETES_ADJRATE,DIABETES_L95CI,DIABETES_U95CI,DIABETES_STATEADJRATE,DIABETES_SL95CI,DIABETES_SU95CI,DIABETES_DISPLAY,HD_ADJRATE,HD_L95CI,HD_U95CI,HD_STATEADJRATE,HD_SL95CI,HD_SU95CI,HD_DISPLAY,LWB_ADJRATE,LWB_L95CI,LWB_U95CI,LWB_STATEADJRATE,LWB_SL95CI,LWB_SU95CI,LWB_DISPLAY,TF_ADJRATE,TF_L95CI,TF_U95CI,TF_STATEADJRATE,TF_SL95CI,TF_SU95CI,TF_DISPLAY,MVA_ADJRATE,MVA_L95CI,MVA_U95CI,MVA_STATEADJRATE,MVA_SL95CI,MVA_SU95CI,MVA_DISPLAY,SUICIDE_ADJRATE,SUICIDE_L95CI,SUICIDE_U95CI,SUICIDE_STATEADJRATE,SUICIDE_SL95CI,SUICIDE_SU95CI,SUICIDE_DISPLAY,INFLUENZA_ADJRATE,INFLUENZA_L95CI,INFLUENZA_U95CI,INFLUENZA_STATEADJRATE,INFLUENZA_SL95CI,INFLUENZA_SU95CI,INFLUENZA_DISPLAY,POD_DEATH_ADJRATE,POD_DEATH_L95CI,POD_DEATH_U95CI,POD_DEATH_STATEADJRATE,POD_DEATH_STATEL95CI,POD_DEATH_STATEU95CI,POD_DISPLAY
1,08043979000,478.25,344.32,612.18,619.91,617,622.82,"Census Tract 9790, Fremont County, Colorado",FREMONT,Lower Than State Average,712.87,598.67,827.07,1281.52,1277.48,1285.56,Lower Than State Average,145.38,89.53,201.23,127.12,125.8,128.44,Not Different Than State Average,8.7,4.26,14.51,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,19.62,4.29,46.06,10.87,10.49,11.26,Not Different Than State Average,56.21,26.42,97.1,20.68,20.15,21.22,Higher Than State Average,100.2,41.63,158.76,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
2,08045951600,273.05,198.85,347.26,619.91,617,622.82,"Census Tract 9516, Garfield County, Colorado",GARFIELD,Lower Than State Average,995.36,860.93,1129.8,1281.52,1277.48,1285.56,Lower Than State Average,43.53,18.94,78.21,127.12,125.8,128.44,Lower Than State Average,6.81,3.59,10.03,7.43,7.34,7.52,Not Different Than State Average,5.95,1.88,12.28,7.01,6.78,7.24,Not Different Than State Average,30.67,10.84,60.59,10.87,10.49,11.26,Not Different Than State Average,17.66,3.83,41.59,20.68,20.15,21.22,Not Different Than State Average,38.52,15.68,71.44,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
3,08069002803,0,0,0,619.91,617,622.82,"Census Tract 28.03, Larimer County, Colorado",LARIMER,No Events or Data Suppressed,0,0,0,1281.52,1277.48,1285.56,No Events or Data Suppressed,0,0,0,127.12,125.8,128.44,No Events or Data Suppressed,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,0,0,0,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
4,08125963200,353.93,284.52,423.33,619.91,617,622.82,"Census Tract 9632, Yuma County, Colorado",YUMA,Lower Than State Average,1490.09,1358.33,1621.84,1281.52,1277.48,1285.56,Higher Than State Average,92.15,61.56,122.75,127.12,125.8,128.44,Lower Than State Average,4.14,2.02,6.27,7.43,7.34,7.52,Lower Than State Average,16.95,5.39,34.79,7.01,6.78,7.24,Not Different Than State Average,17.96,5.68,37.13,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,93.83,58.26,129.4,54.87,54,55.75,Higher Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
5,08069002401,542.5,244.83,840.18,619.91,617,622.82,"Census Tract 24.01, Larimer County, Colorado",LARIMER,Not Different Than State Average,1143.22,0,2433.5,1281.52,1277.48,1285.56,Not Different Than State Average,45.65,8.93,110.76,127.12,125.8,128.44,Lower Than State Average,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,28.55,2.48,83.02,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
6,08069002402,708.97,536.25,881.69,619.91,617,622.82,"Census Tract 24.02, Larimer County, Colorado",LARIMER,Not Different Than State Average,611.01,505.22,716.8,1281.52,1277.48,1285.56,Lower Than State Average,128.43,74.94,181.93,127.12,125.8,128.44,Not Different Than State Average,5.95,1.93,11.98,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,50.42,19.66,95.4,10.87,10.49,11.26,Higher Than State Average,73.95,35.2,126.91,20.68,20.15,21.22,Higher Than State Average,52.11,20.72,97.71,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
7,08103951200,213.49,128.45,298.53,619.91,617,622.82,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average,1672.46,1444.67,1900.26,1281.52,1277.48,1285.56,Higher Than State Average,155.19,82.74,227.64,127.12,125.8,128.44,Not Different Than State Average,7.25,3.53,12.15,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,17.79,2.38,47.47,20.68,20.15,21.22,Not Different Than State Average,25.38,5.59,59.46,54.87,54,55.75,Not Different Than State Average,24.42,5.15,57.97,9.25,8.89,9.6,Not Different Than State Average
8,08103951100,435.52,335.63,535.42,619.91,617,622.82,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average,1531.64,1368.87,1694.41,1281.52,1277.48,1285.56,Higher Than State Average,83.67,47.76,119.59,127.12,125.8,128.44,Lower Than State Average,7.26,3.46,11.06,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,23.7,6.7,51.09,10.87,10.49,11.26,Not Different Than State Average,30.92,10.76,61.46,20.68,20.15,21.22,Not Different Than State Average,121.86,72.3,171.42,54.87,54,55.75,Higher Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
9,08049000201,448.57,352.6,544.53,619.91,617,622.82,"Census Tract 2.01, Grand County, Colorado",GRAND,Lower Than State Average,664.42,557.35,771.5,1281.52,1277.48,1285.56,Lower Than State Average,136.2,80.54,191.86,127.12,125.8,128.44,Not Different Than State Average,9.32,4.83,13.81,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,13.81,3.24,31.74,10.87,10.49,11.26,Not Different Than State Average,35.59,16.39,62.14,20.68,20.15,21.22,Not Different Than State Average,39.8,19.29,67.66,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
10,08049000202,151.12,107.45,194.8,619.91,617,622.82,"Census Tract 2.02, Grand County, Colorado",GRAND,Lower Than State Average,217.04,163.16,270.92,1281.52,1277.48,1285.56,Lower Than State Average,44.48,18.8,70.15,127.12,125.8,128.44,Lower Than State Average,9.55,4.96,14.15,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,10.52,2.38,24.44,20.68,20.15,21.22,Not Different Than State Average,29.5,13.93,50.86,54.87,54,55.75,Lower Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
