X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,Latitude,Longitude,CDPHE_HFEMS_Licensed,Operating_Status,Date_Data_Updated,Source
-104.868362,39.6561510000001,1,04K461,# 1 HOME CARE AGENCY CORPORATION,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,303-306-0404,DENVER,"10200 E GIRARD AVE BLDG A  STE 103, DENVER, CO 80231",39.656151,-104.868362,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.868362,39.6561510000001,2,10C962,# 1 HOME CARE AGENCY CORPORATION,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,303-306-0404,DENVER,"10200 E GIRARD AVE  BLDG A STE 103, DENVER, CO 80231",39.656151,-104.868362,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.896904,39.628658,3,04I8ZR,#1 NOOR HOME CARE,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,,DENVER,"7900 E UNION AVE STE 1100, DENVER, CO 80237",39.628658,-104.896904,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.896904,39.628658,4,04YPBY,#1 NOOR HOME CARE,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,720-324-3242,DENVER,"7900 E UNION AVE STE 1100, DENVER, CO 80234",39.628658,-104.896904,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.896904,39.628658,5,0431O0,#1 NOOR HOME CARE,05A,Home Health Agency,Home Health,Home Health Agency (Cert Eligible),HHA-LCE,0,720-324-3242,DENVER,"7900 E UNION AVE STE 1100, DENVER, CO 80237",39.628658,-104.896904,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.07428,39.7693370000001,6,04D530,1 ABOVE THE REST,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,720-739-6135,JEFFERSON,"6990 W 38TH AVE  #100-D, WHEAT RIDGE, CO 80033",39.769337,-105.07428,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.834641,39.784138,7,10045R,1 ABOVE THE REST,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,605-786-5754,DENVER,"13165 E ELK PL, DENVER, CO 80239",39.7841379999999,-104.834641,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.789726,38.9214940000001,8,10TYID,1 FOR ALL HOME HEALTHCARE LLC,S2G,All Other Factypes,Disability Care,CHILDREN'S HABILITATION RESIDENTIAL PROG (CHRP),HCBS,0,,EL PASO,"6208 LEHMAN DR STE 210, COLORADO SPRINGS, CO 80918",38.921494,-104.789726,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.789726,38.9214940000001,9,04UMNL,1 FOR ALL HOME HEALTHCARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,719-619-3600,EL PASO,"6208 LEHMAN DR  STE 210, COLORADO SPRINGS, CO 80918",38.921494,-104.789726,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.789726,38.9214940000001,10,04C4K7,1 FOR ALL HOME HEALTHCARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,719-619-3600,EL PASO,"6208 LEHMAN DR STE 210, COLORADO SPRINGS, CO 80918",38.921494,-104.789726,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.79022,38.9218950000001,11,10WYC1,1 FOR ALL HOME HEALTHCARE LLC,S2E,All Other Factypes,Disability Care,Program Approved Service Agency (PASA),HCBS-IDD,0,719-619-3600,EL PASO,"6208 LEHMAN DR 210, COLORADO SPRINGS, CO 80918",38.9218949999999,-104.79022,no,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.856522,39.424355,12,04DFBC,1 MILE HIGH SENIOR HOME CARE LLC,05E,All Other Factypes,Home Health,Home Care Agency-In Home Support Services (Medicaid),HCA-IHSS,0,,DOUGLAS,"6740 TREMOLITE DR, CASTLE ROCK, CO 80108",39.4243549999999,-104.856521999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.856522,39.424355,13,04V7I0,1 MILE HIGH SENIOR HOME CARE LLC,05D,Home Care Agency,Home Health,Home Care Agency-Personal Care/Homemaker (Medicaid),HCA-PHS,0,720-938-0470,DOUGLAS,"6740 TREMOLITE DR, CASTLE ROCK, CO 80108",39.4243549999999,-104.856521999999,yes,ACTIVE,2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.074275,39.768945,14,04F7H9,1 PLUS HOME CARE LLC,05C,Home Care Agency,Home Health,Home Care Agency (Licensed Only),HCA-LIC,0,720-213-6318,JEFFERSON,"6990 W 38TH AVE, #100-E LAKEWOOD, CO 80033",39.768945,-105.074275,yes,PENDING (CLOSING OR OPENING),2024/12/04 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
